"","LAT_DEG","LONG_DEG","As","Al","Cd","Cr","Cu","Fe","Ni","Pb","Zn"
"1",26.479,88.514,1,7,0.28,0.112462948076427,1,60,1.1,2.58,10
"2",25.7,88.5,2.2,2,0.19,0.33270053670276,0.325602256227285,6210,1,0.5,22
"3",24.088,90.17,1.1,14,0.0191014852654189,0.00852895865682513,3,1480,11.6,0.43,20
"4",26.083,88.279,1.1,4,0.27,0.053170379716903,0.0515280920080841,240,1.4,2.84,58
"5",26.054,88.533,0.291643381584436,4,0.12,0.0666197593091056,0.249317669542506,1380,0.8,0.78,14
"6",24.91,89.946,1.7,7,0.0185945116728544,0.194610298844054,0.17153695342131,260,2.4,2.95,66
"7",25.903,88.6,0.000807712320238352,2,0.12,0.291822675499134,0.783269440522417,170,1,0.65,17
"8",25.901,88.254,0.8,4,0.66,0.409999059396796,0.0688598414417356,293,1.7,1.23,NA
"9",25.665,88.652,0.324462822289206,8,0.16,0.7,4,27,0.9,2.37,14
"10",25.653,88.915,0.8,4,0.14,0.0730045064119622,0.832005496136844,1650,1.3,0.97,23
"11",25.288,89.021,0.9,3,0.08,0.276361522497609,0.761782436165959,224,3.3,0.16,21
"12",26.1,88.8,0.397721396759152,4,0.06,0.458051431458443,0.422822372289374,356,0.7,0.24,13
"13",25.9,88.8,1.9,3,0.02,0.328041062457487,0.776277690194547,837,0.8,0.33,3
"14",26.203,89.11,0.452465633279644,16,0.39,2.6,1,271,1.2,7.58,12
"15",25.931,88.838,0.0290855341590941,3,0.06,0.496999622439034,0.382992341648787,18,0.5,0.35,11
"16",25.752,89.253,0.263874407391995,4,0.15,0.479075577226467,1,988,2.4,0.71,96
"17",25.913,89.436,4,4,0.09,0.6,1,9070,1.3,1.31,20
"18",25.965,89.671,0.240059992182069,4,0.2,0.339215537416749,1,182,3,0.8,17
"19",25.653,89.623,0.6,5,0.08,0.465268982457928,0.154056207742542,2130,2,0.96,10
"20",25.532,89.446,0.357678804895841,6,0.07,0.0883114209864289,0.698861870216206,84,1.5,1.06,NA
"21",25.318,89.55,0.486194490105845,3,0.0189319887058809,0.443923978018574,0.159718399634585,54,1.1,0.34,7
"22",25.134,89.387,0.0355562943732366,4,0.05,0.379230350255966,2,16,1.5,0.48,7
"23",25.109,89.036,0.0153768791351467,2,0.16,0.292103478801437,0.718237653607503,976,1.6,0.23,91
"24",24.804,88.969,0.105409824056551,3,0.11,0.0393514964962378,1,40,7.5,0.39,42
"25",24.933,89.348,0.41359409946017,15,0.08,0.276218925602734,0.112453131237999,23,1.1,0.58,19
"26",25.05,88.75,0.5,3,0.00288572926074266,0.305602411972359,0.217961152084172,80,2.1,0.2,14
"27",24.793,88.701,0.5,4,0.05,0.152732275892049,0.611602923134342,354,8,0.34,50
"28",22.365,89.933,5.6,NA,0.00577743714209646,1.2,3,78,1.5,1.5,NA
"29",24.8,88.2,1,3,0.00214592098724097,0.158875502180308,0.526720974594355,1240,2.1,0.27,78
"30",22.365,89.933,1.4,13,0.09,1.2,4,86,4,0.65,71
"31",24.684,88.157,0.6,4,0.03,0.0687175178900361,0.945157953538001,30,3.4,0.23,11
"32",22.365,89.933,14.6,NA,0.05,1.6,5,426,2.2,1.49,58
