,SAMPLE_ID,SAMPLE_DATE,LAT_DEG,LONG_DEG,Ba,Cd,Co,Cr,Cu,Mo,Ni,Pb,Sn,Tl,V,Zn
1,S98_01785,23/07/98,26.479,88.514,31,0.28,0.18,0.5,1,0.2,1.1,2.58,1,0.06,0.2,10
2,S98_01786,,25.7,88.5,17,0.19,0.32,0.5,1,0.2,1,0.5,0.8,0.01,0.2,22
3,S98_01787,20/07/98,24.088,90.17,31,0.02,0.56,0.5,3,0.2,11.6,0.43,1.9,0.01,3,20
4,S98_01788,23/07/98,26.083,88.279,18,0.27,0.1,0.5,1,0.1,1.4,2.84,1.3,0.01,0.2,58
5,S98_01789,23/07/98,26.054,88.533,16,0.12,0.18,0.5,1,0.1,0.8,0.78,0.8,0.01,0.2,14
6,S98_01790,19/07/98,24.91,89.946,46,0.02,0.14,0.5,1,0.1,2.4,2.95,1,0.01,3.1,66
7,S98_01791,24/07/98,25.903,88.6,15,0.12,0.28,0.5,1,0.1,1,0.65,1.2,0.01,0.2,17
8,S98_01792,23/07/98,25.901,88.254,17,0.66,0.15,0.5,1,0.1,1.7,1.23,0.7,0.01,0.2,NA
9,S98_01793,24/07/98,25.665,88.652,7,0.16,0.05,0.7,4,0.1,0.9,2.37,1.3,0.01,0.6,14
10,S98_01794,24/07/98,25.653,88.915,48,0.14,0.62,0.5,1,0.1,1.3,0.97,1.3,0.02,0.2,23
11,S98_01795,22/07/98,25.288,89.021,16,0.08,0.58,0.5,1,0.1,3.3,0.16,1,0.01,0.6,21
12,S98_01796,25/07/98,26.1,88.8,15,0.06,0.56,0.5,1,0.1,0.7,0.24,1.5,0.01,0.2,13
13,S98_01797,24/07/98,25.9,88.8,22,0.02,0.53,0.5,1,0.4,0.8,0.33,1.3,0.01,0.2,3
14,S98_01798,25/07/98,26.203,89.11,62,0.39,0.19,2.6,1,0.5,1.2,7.58,1.3,0.11,0.8,12
15,S98_01799,25/07/98,25.931,88.838,6,0.06,0.09,0.5,1,0.1,0.5,0.35,0.8,0.03,0.8,11
16,S98_01800,26/07/98,25.752,89.253,24,0.15,0.32,0.5,1,0.3,2.4,0.71,1.4,0.01,0.2,96
17,S98_01801,25/07/98,25.913,89.436,34,0.09,0.13,0.6,1,0.6,1.3,1.31,1.5,0.05,0.3,20
18,S98_01802,26/07/98,25.965,89.671,73,0.2,1.19,0.5,1,0.1,3,0.8,1.1,0.01,0.4,17
19,S98_01803,26/07/98,25.653,89.623,24,0.08,0.52,0.5,1,0.2,2,0.96,1.1,0.01,0.7,10
20,S98_01804,26/07/98,25.532,89.446,58,0.07,0.36,0.5,1,1.4,1.5,1.06,0.9,0.01,0.6,NA
21,S98_01805,27/07/98,25.318,89.55,44,0.02,0.13,0.5,1,0.4,1.1,0.34,1.7,0.01,0.2,7
22,S98_01806,27/07/98,25.134,89.387,50,0.05,0.21,0.5,2,1.9,1.5,0.48,1.1,0.01,1,7
23,S98_01807,22/07/98,25.109,89.036,23,0.16,0.33,0.5,1,0.1,1.6,0.23,3.3,0.01,0.2,91
24,S98_01808,22/07/98,24.804,88.969,38,0.11,1.2,0.5,1,0.1,7.5,0.39,0.9,0.01,1.3,42
25,S98_01809,27/07/98,24.933,89.348,6,0.08,0.42,0.5,1,0.1,1.1,0.58,1.3,0.01,1.5,19
26,S98_01810,22/07/98,25.05,88.75,2,0.02,0.09,0.5,1,0.1,2.1,0.2,1.1,0.01,1.5,14
27,S98_01811,22/07/98,24.793,88.701,8,0.05,0.38,0.5,1,0.1,8,0.34,1.7,0.01,1.1,50
28,S98_01812,27/07/98,22.365,89.933,1030,0.02,0.21,1.2,3,0.6,1.5,1.5,0.5,0.3,0.6,NA
29,S98_01813,21/07/98,24.8,88.2,40,0.02,0.29,0.5,1,0.2,2.1,0.27,2.4,0.01,0.2,78
30,S98_01814,27/07/98,22.365,89.933,625,0.09,0.48,1.2,4,0.8,4,0.65,0.7,8.76,0.2,71
31,S98_01815,21/07/98,24.684,88.157,115,0.03,1.18,0.5,1,0.6,3.4,0.23,1.4,0.01,1.4,11
32,S98_01816,27/07/98,22.365,89.933,25,0.05,0.44,1.6,5,3.8,2.2,1.49,0.8,0.14,3.2,58
33,S98_01817,21/07/98,24.461,88.328,27,0.02,0.15,0.5,1,0.2,1.5,0.19,1.2,0.01,3.4,7
34,S98_01818,21/07/98,24.374,88.558,63,0.02,1.28,0.5,1,1.6,4.5,0.26,0.9,0.01,2.1,20
35,S98_01819,20/07/98,24.304,88.738,98,0.02,0.51,0.5,1,0.9,3.5,0.2,1.2,0.02,0.2,13
36,S98_01820,20/07/98,24.414,89.988,142,0.03,0.6,0.5,1,0.5,5.5,0.21,0.8,0.01,0.3,NA
37,S98_01821,20/07/98,24.506,89.143,90,0.03,0.89,0.5,1,0.2,4.7,0.16,1.1,0.01,0.9,19
38,S98_01822,20/07/98,24.179,88.966,39,0.11,0.78,0.5,1,0.8,3.9,0.72,0.9,0.01,2.3,30
39,S98_01823,27/07/98,24.507,89.526,26,0.06,0.13,0.5,1,0.7,1,0.39,1.2,0.01,0.2,NA
40,S98_01824,28/07/98,24.463,89.708,31,0.06,0.19,0.5,1,0.8,1,0.88,1.5,0.01,0.2,8
41,S98_01825,20/07/98,24.15,89.261,61,0.03,0.59,0.5,1,0.5,3.1,0.17,1.4,0.01,1.7,NA
